"","ID","gender","age","classification","name_letters","happy","concerts","hair_color","own_shoes","greek","live_campus","roomates","austin","birth_month","commute","car","sport"
"1",1,"Male",17,"Freshman",4,80,2,"black",108,"yes","yes",1,10,11,"walk","no","yes"
"2",2,"Female",19,"Sophomore",8,76,15,"black",42,"no","no",1,10,12,"drive by myself","no","no"
"3",3,"Female",18,"Freshman",6,50,3,"brown",6,"no","yes",1,10,11,"walk","no","no"
"4",4,"Male",19,"Sophomore",4,75,0,"black",10,"yes","no",1,8,5,"bus","no","no"
"5",5,"Female",19,"Sophomore",7,89,1,"brown",13,"no","no",2,9,5,"bus","no","no"
"6",6,"Female",19,"Sophomore",5,90,1,"black",12,"yes","no",3,10,12,"walk","yes","no"
"7",7,"Female",18,"Freshman",5,57,0,"black",12,"no","yes",1,7,8,"walk","no","no"
"8",8,"Female",18,"Freshman",8,60,0,"brown",6,"no","yes",1,8,9,"bus","no","no"
"9",9,"Female",19,"Sophomore",8,75,1,"black",15,"no","yes",1,8,6,"walk","yes","no"
"10",10,"Female",19,"Sophomore",5,100,4,"black",25,"no","no",3,8,3,"walk","yes","yes"
"11",11,"Male",18,"Junior",7,2,0,"black",5,"no","no",1,4,5,"bus","no","yes"
"12",12,"Male",23,"Other",6,75,1,"brown",6,"no","no",1,9,8,"walk","yes","yes"
"13",13,"Male",20,"Junior",4,60,5,"black",8,"yes","no",1,8,5,"walk","yes","yes"
"14",14,"Female",18,"Freshman",3,85,0,"black",15,"no","yes",1,8,12,"walk","no","no"
"15",15,"Female",19,"Sophomore",8,90,1,"brown",20,"no","no",3,10,1,"bus","yes","yes"
"16",16,"Female",19,"Freshman",7,75,0,"brown",10,"no","yes",1,9,10,"walk","no","no"
"17",17,"Female",20,"Junior",6,90,0,"brown",18,"yes","no",4,8,4,"bus","yes","no"
"18",18,"Female",18,"Freshman",8,89,2,"brown",30,"no","yes",1,8,12,"walk","no","no"
"19",19,"Male",23,"Junior",8,40,0,"black",4,"no","no",1,7,6,"walk","no","no"
"20",20,"Female",18,"Freshman",4,80,0,"brown",8,"no","yes",1,10,1,"walk","no","no"
"21",21,"Male",18,"Freshman",8,75,1,"black",3,"no","yes",1,8,10,"walk","no","yes"
"22",22,"Male",21,"Junior",4,98,18,"brown",7,"no","no",1,10,8,"walk","yes","yes"
"23",23,"Female",18,"Freshman",8,97,1,"blond",13,"yes","no",1,10,4,"walk","yes","no"
"24",24,"Female",18,"Freshman",4,75,2,"brown",16,"no","yes",1,7,5,"walk","no","no"
"25",25,"Female",18,"Freshman",6,85,0,"brown",14,"no","yes",1,7,5,"walk","no","no"
"26",26,"Male",18,"Freshman",4,75,1,"brown",5,"no","yes",1,8,7,"walk","no","no"
"27",27,"Female",19,"Sophomore",6,90,3,"brown",10,"no","no",2,6,1,"bicycle","no","no"
"28",28,"Female",19,"Sophomore",4,35,0,"black",4,"no","no",1,5,7,"walk","no","yes"
"29",29,"Female",18,"Freshman",7,90,2,"brown",11,"no","yes",1,9,3,"walk","no","no"
"30",30,"Female",18,"Freshman",8,95,0,"brown",17,"no","yes",1,7,10,"walk","no","no"
"31",31,"Female",18,"Freshman",6,80,0,"brown",20,"no","yes",1,7,9,"walk","no","no"
"32",32,"Female",18,"Freshman",4,95,8,"black",10,"no","yes",1,6,10,"walk","yes","no"
"33",33,"Male",19,"Sophomore",3,85,2,"black",3,"no","no",3,8,4,"walk","no","no"
"34",34,"Male",18,"Freshman",8,85,1,"brown",4,"no","yes",1,9,8,"walk","no","no"
"35",35,"Female",20,"Junior",6,70,1,"brown",30,"no","no",3,8,8,"bus","yes","yes"
"36",36,"Male",18,"Freshman",4,75,0,"black",15,"no","yes",1,7,3,"drive by myself","no","no"
"37",37,"Female",18,"Freshman",7,75,0,"black",8,"no","yes",1,7,3,"walk","no","no"
"38",38,"Female",19,"Sophomore",4,70,5,"brown",30,"yes","no",1,9,3,"walk","no","no"
"39",39,"Male",18,"Freshman",9,80,1,"black",6,"no","yes",1,9,3,"walk","no","yes"
"40",40,"Female",18,"Freshman",8,70,1,"brown",30,"no","yes",3,8,2,"walk","no","yes"
"41",41,"Female",21,"Senior",6,60,4,"brown",6,"no","no",3,8,5,"walk","no","yes"
"42",42,"Female",18,"Freshman",6,95,0,"blond",13,"no","no",1,10,4,"bus","no","no"
"43",43,"Female",20,"Junior",7,90,1,"brown",3,"no","no",0,9,12,"drive by myself","yes","no"
"44",44,"Female",17,"Freshman",5,75,1,"blond",10,"no","yes",1,8,10,"walk","no","no"
"45",45,"Female",19,"Sophomore",7,99,0,"brown",25,"no","no",3,9,5,"bus","no","no"
"46",46,"Male",19,"Sophomore",6,90,3,"black",13,"no","no",1,8,12,"bus","yes","yes"
"47",47,"Female",22,"Senior",4,90,1,"brown",10,"no","no",1,7,9,"walk","no","no"
"48",48,"Female",18,"Freshman",7,90,8,"black",20,"no","yes",1,10,5,"walk","no","no"
"49",49,"Female",18,"Freshman",7,80,0,"blond",10,"no","yes",1,10,3,"walk","yes","no"
"50",50,"Female",18,"Freshman",6,75,1,"brown",25,"no","yes",1,4,11,"walk","no","no"
"51",51,"Female",21,"Junior",8,70,2,"blond",30,"yes","no",2,9,8,"walk","yes","yes"
"52",52,"Female",21,"Junior",7,80,2,"blond",100,"yes","no",1,10,10,"walk","yes","no"
"53",53,"Male",19,"Sophomore",4,80,0,"black",5,"no","no",3,7,8,"walk","no","no"
"54",54,"Female",19,"Freshman",6,95,0,"black",14,"no","yes",2,8,10,"walk","yes","yes"
"55",55,"Female",19,"Freshman",6,85,10,"brown",15,"no","yes",1,10,9,"walk","yes","no"
"56",56,"Female",18,"Freshman",6,92,0,"brown",16,"no","no",2,9,2,"bus","no","yes"
"57",57,"Female",19,"Freshman",5,75,1,"brown",6,"no","yes",1,9,9,"walk","yes","no"
"58",58,"Male",24,"Other",6,80,4,"brown",40,"no","no",2,8,3,"get dropped off","yes","no"
"59",59,"Female",19,"Sophomore",4,90,2,"blond",14,"no","no",2,9,3,"walk","no","no"
"60",60,"Female",19,"Sophomore",4,65,0,"brown",12,"no","no",3,8,11,"bus","no","no"
"61",61,"Female",19,"Freshman",5,0,0,"black",6,"no","yes",1,9,9,"walk","no","no"
"62",62,"Female",18,"Freshman",6,80,1,"brown",15,"no","no",0,8,9,"walk","yes","no"
"63",63,"Female",22,"Junior",7,90,1,"brown",8,"no","no",3,8,10,"bus","no","yes"
