"","Country","Country.Code","year","Region","IncomeGroup","population","rural.population","hiv.cases","san.access","motor.vehicles","gas.price","co2.emission","mobile.users","internet.users"
"1","Aruba","ABW",1960,"Latin America & Caribbean","High income",54208,26683,NA,NA,NA,NA,NA,0,NA
"2","Aruba","ABW",1961,"Latin America & Caribbean","High income",55435,27296,NA,NA,NA,NA,NA,NA,NA
"3","Aruba","ABW",1962,"Latin America & Caribbean","High income",56226,27694,NA,NA,NA,NA,NA,NA,NA
"4","Aruba","ABW",1963,"Latin America & Caribbean","High income",56697,27934,NA,NA,NA,NA,NA,NA,NA
"5","Aruba","ABW",1964,"Latin America & Caribbean","High income",57029,28107,NA,NA,NA,NA,NA,NA,NA
"6","Aruba","ABW",1965,"Latin America & Caribbean","High income",57360,28278,NA,NA,NA,NA,NA,0,NA
"7","Aruba","ABW",1966,"Latin America & Caribbean","High income",57712,28461,NA,NA,NA,NA,NA,NA,NA
"8","Aruba","ABW",1967,"Latin America & Caribbean","High income",58049,28636,NA,NA,NA,NA,NA,NA,NA
"9","Aruba","ABW",1968,"Latin America & Caribbean","High income",58385,28810,NA,NA,NA,NA,NA,NA,NA
"10","Aruba","ABW",1969,"Latin America & Caribbean","High income",58724,28987,NA,NA,NA,NA,NA,NA,NA
"11","Aruba","ABW",1970,"Latin America & Caribbean","High income",59065,29164,NA,NA,NA,NA,NA,0,NA
"12","Aruba","ABW",1971,"Latin America & Caribbean","High income",59438,29357,NA,NA,NA,NA,NA,NA,NA
"13","Aruba","ABW",1972,"Latin America & Caribbean","High income",59849,29569,NA,NA,NA,NA,NA,NA,NA
"14","Aruba","ABW",1973,"Latin America & Caribbean","High income",60239,29771,NA,NA,NA,NA,NA,NA,NA
"15","Aruba","ABW",1974,"Latin America & Caribbean","High income",60525,29922,NA,NA,NA,NA,NA,NA,NA
"16","Aruba","ABW",1975,"Latin America & Caribbean","High income",60655,29995,NA,NA,NA,NA,NA,0,NA
"17","Aruba","ABW",1976,"Latin America & Caribbean","High income",60589,29972,NA,NA,NA,NA,NA,0,NA
"18","Aruba","ABW",1977,"Latin America & Caribbean","High income",60366,29871,NA,NA,NA,NA,NA,0,NA
"19","Aruba","ABW",1978,"Latin America & Caribbean","High income",60106,29751,NA,NA,NA,NA,NA,0,NA
"20","Aruba","ABW",1979,"Latin America & Caribbean","High income",59978,29697,NA,NA,NA,NA,NA,0,NA
"21","Aruba","ABW",1980,"Latin America & Caribbean","High income",60096,29764,NA,NA,NA,NA,NA,0,NA
"22","Aruba","ABW",1981,"Latin America & Caribbean","High income",60567,30007,NA,NA,NA,NA,NA,0,NA
"23","Aruba","ABW",1982,"Latin America & Caribbean","High income",61344,30401,NA,NA,NA,NA,NA,0,NA
"24","Aruba","ABW",1983,"Latin America & Caribbean","High income",62204,30837,NA,NA,NA,NA,NA,0,NA
